"","location","stat_area","count"
"1","",NA,15
"2",".6 miles N of Pt. Nowell",NA,1
"3",".72 S of Granite Pt.",NA,1
"4",".75 S of Granite Pt.",NA,2
"5",".75 SW of Granite Pt.3",NA,1
"6",".78 SSW of Granite Pt.",NA,1
"7",".9 SW of Granite Pt.",NA,1
"8","0",NA,3
"9","1 mile west of Ferry Terminal",NA,1
"10","2 miles south of Sawmill Bay",NA,3
"11","2 miles South of Sawmill Bay",NA,1
"12","200 yards off Harrison Lagoon",NA,1
"13","3 FINGER BAY, COCHRANE BAY",NA,1
"14","3 FINGER COVE",NA,1
"15","3 FINGERS",NA,1
"16","3 mile beach",NA,6
"17","300 yards off Harrison Lagoon",NA,1
"18","400 yards off Harrison Lagoon",NA,1
"19","476102",NA,2
"20","486003",NA,2
"21","486031",NA,4
"22","486032",NA,3
"23","486033",486033,1
"24","486033",NA,1
"25","4863034",NA,3
"26","4864034",NA,3
"27","60.89 147.59",NA,1
"28","60.9 147.23",NA,1
"29","60.93 147,13",NA,2
"30","7 MILE BEACH",NA,5
"31","across the bay from valdez",NA,2
"32","ADMIRALTY ISLAND",NA,1
"33","ALISON POINT",NA,5
"34","Allison Point",NA,12
"35","ALLISON POINT",NA,27
"36","ALLISON PT",NA,18
"37","Anderson bay",NA,1
"38","Anderson Bay",NA,2
"39","ANDERSON BAY",NA,20
"40","Anderson glacier",NA,3
"41","Anderson Glacier",NA,19
"42","applegate",NA,1
"43","Applegate",NA,4
"44","APPLEGATE",NA,4
"45","Applegate - Lower Cullross Pass",NA,1
"46","Applegate / Culross Passage",NA,3
"47","applegate island",NA,1
"48","Applegate island",NA,6
"49","Applegate Island",NA,6
"50","APPLEGATE ISLAND",NA,2
"51","APPLEGATE PASSAGE",NA,3
"52","arm",NA,3
"53","awaknik",NA,4
"54","axel lind island south end",NA,1
"55","Axel Lind, perry island",NA,1
"56","B CULROSS ISLAND",NA,1
"57","back of main bay",NA,1
"58","bain bridge",NA,1
"59","Bainbridge",NA,2
"60","BAINBRIDGE",NA,1
"61","Bainbridge East Arm Passage",NA,2
"62","BAINBRIDGE PASSAGAE",NA,1
"63","Bainbridge passage",NA,2
"64","Bainbridge Passage",NA,8
"65","BAINBRIDGE PASSAGE",486001,7
"66","BAINBRIDGE PASSAGE",486005,2
"67","Bald Chris Island",NA,3
"68","bald head chris",NA,1
"69","Bald Head Chris Island",NA,2
"70","BALD HEAD CHRIS ISLAND",476033,1
"71","Baldhead Chris I",NA,1
"72","BALDHEAD CHRIS IS",NA,1
"73","barry arm",NA,3
"74","Barry arm",NA,3
"75","Barry Arm",NA,15
"76","BARRY ARM",486100,3
"77","BARRY ARM",NA,2
"78","BARRY ARM-WHITTIER",NA,4
"79","Barry Arm Entrance",NA,1
"80","BARRY ARM MORAINE",NA,1
"81","Barry Arm, College Fjord",NA,1
"82","barrys arm",NA,2
"83","Bay",NA,6
"84","Bay of Isles",NA,1
"85","BAY OF ISLES",476007,7
"86","Bay of Isles- Just outside bay",NA,1
"87","bay/arm of Veldez",NA,1
"88","Beartrap Bay",NA,2
"89","becay arm",NA,1
"90","BEHING GLACIER ISLAND",NA,6
"91","Berry Arm",NA,1
"92","Bettels",NA,1
"93","bettels bay",NA,2
"94","Bettels Bay",NA,10
"95","bettles",NA,1
"96","Bettles",NA,9
"97","BETTLES",NA,1
"98","bettles bay",NA,9
"99","Bettles bay",NA,7
"100","Bettles Bay",NA,73
"101","BETTLES BAY",486034,3
"102","BETTLES BAY",NA,11
"103","BETTLES BAY (MOUTH)",NA,2
"104","Bettles bay area",NA,9
"105","bettles bay port wells",NA,1
"106","Between Anderson Bay and Entrance Isl. PWS",NA,5
"107","Between Logging camp bay and Entry cove",NA,5
"108","between Main Bay and foul bay",NA,1
"109","Between Potato Point and Sawmill Bay",NA,2
"110","Bigot Bay",NA,1
"111","Billings",NA,2
"112","BILLINGS",NA,1
"113","Billings Cr",NA,2
"114","billings creek",NA,1
"115","Billings Creek",NA,4
"116","BILLINGS CREEK",NA,1
"117","billings glacier bay whittier",NA,2
"118","BILLYS HOLE",476035,1
"119","Black drone bay",NA,1
"120","black stone",NA,1
"121","Black stone",NA,8
"122","Black Stone",NA,7
"123","black stone bay",NA,3
"124","Black stone bay",NA,25
"125","Black stone Bay",NA,16
"126","Black Stone bay",NA,1
"127","Black Stone Bay",NA,25
"128","Black stone Bay Area",NA,1
"129","Black stone Bay/Cochran Bay",NA,1
"130","Black Stone Cove Whittier",NA,1
"131","black stone glacier",NA,1
"132","black stone point",NA,1
"133","Black stone point",NA,1
"134","Black Stone Point",NA,2
"135","Black Stone Point Cochran",NA,1
"136","Black stone pt",NA,1
"137","Blackstome Point",NA,2
"138","Blackston",NA,3
"139","BLACKSTON",NA,1
"140","blackston bay",NA,1
"141","Blackston bay",NA,1
"142","blackstone",NA,36
"143","Blackstone",NA,128
"144","BLACKSTONE",486033,1
"145","BLACKSTONE",NA,96
"146","BLACKSTONE  BAY",NA,1
"147","BLACKSTONE 17 MILE",NA,1
"148","blackstone bay",NA,62
"149","blackstone Bay",NA,2
"150","Blackstone bay",NA,63
"151","Blackstone Bay",NA,384
"152","BlackStone Bay",NA,4
"153","BLACKSTONE BAY",486033,36
"154","BLACKSTONE BAY",NA,110
"155","Blackstone Bay by Willard island",NA,1
"156","Blackstone bay east side",NA,6
"157","Blackstone Bay entrance",NA,3
"158","blackstone bay midway up",NA,1
"159","Blackstone Bay near Willard Island",NA,1
"160","BLACKSTONE BAY NW ENT",NA,2
"161","Blackstone Bay, NW side",NA,1
"162","Blackstone Bay/Head near Glacier Morraine",NA,1
"163","Blackstone Bay/Mouth",NA,2
"164","Blackstone Day",NA,1
"165","Blackstone glacier",NA,2
"166","Blackstone Glacier",NA,3
"167","BLACKSTONE GLACIER",NA,1
"168","blackstone point",NA,10
"169","Blackstone Point",NA,8
"170","BLACKSTONE POINT",NA,1
"171","BLACKSTONE PT",NA,1
"172","Blacktone Bay",NA,1
"173","BLACKTSONE",NA,2
"174","Bligh",NA,1
"175","Bligh Island",NA,2
"176","BLUE BAY",NA,1
"177","Blue Fiord",NA,10
"178","BLUE FIORD",NA,1
"179","Blue Fiord/Port Nellie Juan",NA,1
"180","blue fjord",NA,2
"181","Blue fjord",NA,2
"182","Blue Fjord",NA,27
"183","BLUE FJORD",486003,1
"184","BLUE FJORD",NA,12
"185","Blue Fjord & Port Nellie Juan",NA,1
"186","blue fjords",NA,5
"187","Blue Fjords",NA,6
"188","blueford bay",NA,1
"189","BLYE FJORDS",NA,1
"190","Bold Island",NA,1
"191","Bomb Pt.",NA,1
"192","Boner",NA,3
"193","boot cove, Perry island",NA,1
"194","Bubba Cove",NA,1
"195","Busby island",NA,1
"196","Busby Island",NA,8
"197","BUSBY ISLAND",466033,18
"198","Busby Island, Valdez Arm",NA,1
"199","Bush Banks",NA,1
"200","bush banks whittier",NA,1
"201","Buyers Cove",NA,1
"202","C BAY",NA,1
"203","c0chrane",NA,1
"204","CABIN BAY",NA,2
"205","Cabin Bay Naked Island",NA,2
"206","Cachren bay",NA,1
"207","Cachren Bay",NA,1
"208","Cachren/ay",NA,1
"209","calaros passage",NA,2
"210","calaross passage",NA,1
"211","Callorose passage",NA,1
"212","calros bay",NA,2
"213","calrose pass",NA,1
"214","Calrose Strait",NA,1
"215","Calross Pass",NA,3
"216","CAMPBELL BAY",NA,1
"217","Can't remember",NA,1
"218","Canal",NA,8
"219","Canal Passage",NA,1
"220","CANAL PASSAGE",NA,1
"221","Cannery Creek Hatchery",NA,16
"222","Cascade bay",NA,1
"223","Cascade Bay",NA,4
"224","CASCADE BAY",NA,2
"225","CASCADE BAY PWS",NA,1
"226","CATHEAD BAY",NA,1
"227","Cedar",NA,1
"228","cedar bay",NA,1
"229","Cedar bay",NA,9
"230","Cedar Bay",NA,16
"231","Cedar BAy",NA,1
"232","CEDAR BAY",NA,42
"233","CEDAR BAY AREA",NA,1
"234","Cedar Bay, Unakwik",NA,1
"235","Ceder bay",NA,2
"236","chenega",NA,1
"237","CHENEGA",NA,7
"238","Chenega Bay",NA,1
"239","Chenega East",NA,10
"240","chenega island",NA,1
"241","Chenega Island",NA,2
"242","CHENEGA ISLAND",NA,5
"243","CHENEGA ISLAND, GRANITE BAY",NA,1
"244","CHOCHRAN BAY 3 FINGERS",NA,1
"245","Chochrane bay",NA,1
"246","Chochrane Bay",NA,1
"247","Chocran bay",NA,2
"248","Chocrane Bay",NA,1
"249","Chugach National Forest Passage- Whitter",NA,2
"250","cliff mine",NA,2
"251","CLIFF MINE",NA,1
"252","Cliff Mine, Port Valdez",NA,9
"253","coal rose pass",NA,1
"254","Cocharane",NA,1
"255","Cocharane Bay",NA,2
"256","Cocheran",NA,2
"257","Cocheran Bay",NA,1
"258","Cochoran Bay",NA,6
"259","Cochrain Bay",NA,2
"260","Cochraine Bay",NA,8
"261","cochran",NA,19
"262","Cochran",NA,46
"263","COCHRAN",486033,2
"264","COCHRAN",NA,4
"265","cochran bay",NA,24
"266","cochran Bay",NA,2
"267","Cochran bay",NA,25
"268","Cochran Bay",NA,109
"269","Cochran BAy",NA,1
"270","COCHRAN BAY",486033,2
"271","COCHRAN BAY",NA,9
"272","Cochran Bay - South end",NA,1
"273","Cochran Bay entrance",NA,1
"274","Cochran Bay Entrance",NA,1
"275","Cochran Bay, east side",NA,1
"276","Cochran Bay, East side",NA,1
"277","Cochran Bay, PWS",NA,2
"278","Cochran Bay, south of Suprise Lagoon",NA,6
"279","Cochran Bay/ Passage Canal",NA,1
"280","Cochran point",NA,1
"281","COCHRAN POINT",NA,2
"282","cochrane",NA,19
"283","Cochrane",NA,42
"284","COCHRANE",486033,1
"285","COCHRANE",NA,18
"286","cochrane bay",NA,45
"287","Cochrane bay",NA,46
"288","Cochrane Bay",NA,192
"289","Cochrane BAY",NA,1
"290","COCHRANE BAY",466033,1
"291","COCHRANE BAY",486033,19
"292","COCHRANE BAY",NA,119
"293","Cochrane Bay - Outside 3-Fingers Cove",NA,2
"294","Cochrane Bay near 3-Finger cove",NA,1
"295","Cochrane Bay near Surprise Cove",NA,3
"296","Cochrane Bay South End",NA,1
"297","Cochrane Bay, PWS",NA,8
"298","Cochrane Bay, Surprise Cove",NA,4
"299","Cochrane By",NA,1
"300","cochrane point",NA,2
"301","Cochrane point",NA,2
"302","COCHRANE POINT",NA,5
"303","cochren bay",NA,1
"304","cochrene",NA,2
"305","cochrene bay",NA,1
"306","Cochrene bay",NA,3
"307","cochrin bay",NA,1
"308","Cochrin Bay",NA,3
"309","Cochrine Bay",NA,1
"310","Cockerane",NA,1
"311","cockerin bay",NA,1
"312","Cockraine",NA,1
"313","Cockran",NA,1
"314","COCKRAN",NA,2
"315","Cockran Bay",NA,2
"316","Cockran Bay, PWS",NA,1
"317","Cockrane Bay",NA,1
"318","COCKRANE BAY",NA,3
"319","COCKREN",NA,1
"320","COCKREN BAY",NA,1
"321","Cockren pt",NA,2
"322","Cockrin",NA,3
"323","Cocrane",NA,2
"324","cocrane bay",NA,1
"325","Cocrhene bay",NA,1
"326","Cocron Bay",NA,1
"327","Coghil",NA,1
"328","Coghill",NA,1
"329","COGHILL POINT",486034,1
"330","Cohoran Bay",NA,1
"331","cohrane bay",NA,1
"332","Cohrane Bay",NA,1
"333","COHRANE BAY",NA,2
"334","Collage Fjord",NA,1
"335","College",NA,3
"336","COLLEGE",NA,1
"337","College Bay",NA,1
"338","College Fijord",NA,2
"339","College Fiord",NA,9
"340","COLLEGE FIORD",NA,1
"341","college fjord",NA,1
"342","College fjord",NA,12
"343","College Fjord",NA,4
"344","COLLEGE FJORD",NA,9
"345","Coloros",NA,1
"346","Colrose island",NA,2
"347","colrose passage",NA,1
"348","Colross",NA,1
"349","Colross Bay",NA,1
"350","colross pass",NA,4
"351","colross passage",NA,2
"352","Colross passage",NA,1
"353","Columbia bay",NA,7
"354","Columbia Bay",NA,5
"355","COLUMBIA BAY",NA,9
"356","Columbia Bay Heather Cove",NA,1
"357","Columbia glacier",NA,1
"358","Columbia Glacier",NA,2
"359","COLUMBIA GLACIER",NA,2
"360","COMFORT BAY",NA,1
"361","Comfort Cove",NA,1
"362","copper bay",NA,2
"363","Copper Bay",NA,6
"364","COPPER BAY",NA,5
"365","copper bay , knight island",NA,1
"366","copper bay, knight island",NA,1
"367","copper bay,, knight island",NA,1
"368","coppery bay ,, knight island",NA,1
"369","Cordova",NA,2
"370","CORDOVA HARBOR",NA,1
"371","COUGHRAN",NA,2
"372","Couth Mew Cove",NA,1
"373","Crafton",NA,1
"374","crafton island",NA,2
"375","Crafton island",NA,2
"376","Crafton Island",NA,5
"377","CUCHRANE PWS",NA,1
"378","Cul Ross - South End",NA,1
"379","cul ross pass",NA,4
"380","Cul Ross South end",NA,1
"381","Culcross Island",NA,2
"382","Cull Ross",NA,1
"383","cullross",NA,2
"384","Cullross",NA,5
"385","Cullross Bay",NA,6
"386","Cullross Island",NA,2
"387","Cullross Pass",NA,2
"388","CULLROSS PASS",NA,2
"389","Cullross passage",NA,2
"390","Cullross Passage",NA,3
"391","CULLROSS PASSAGE",NA,15
"392","Culoros Island",NA,1
"393","culrioss",NA,1
"394","Culroos Passage",NA,1
"395","Culros Oassage",NA,1
"396","culros pass",NA,1
"397","Culros Passage",NA,3
"398","culrose",NA,1
"399","Culrose",NA,1
"400","CULROSE",NA,1
"401","culrose pass",NA,2
"402","culrose passage",NA,3
"403","CULROSE PASSAGE",NA,2
"404","Culrose Passage, Southwest side",NA,1
"405","culross",NA,16
"406","Culross",NA,56
"407","CULROSS",486033,3
"408","CULROSS",NA,52
"409","Culross  Passage",NA,2
"410","culross bay",NA,1
"411","Culross bay",NA,2
"412","Culross Bay",NA,11
"413","CULROSS BAY",NA,3
"414","Culross Isalnd",NA,1
"415","Culross island",NA,1
"416","Culross Island",NA,6
"417","CULROSS ISLAND",NA,1
"418","Culross Pasage",NA,3
"419","culross pass",NA,2
"420","Culross pass",NA,5
"421","Culross Pass",NA,25
"422","CULROSS PASS",NA,12
"423","Culross Pass out of Whittier",NA,2
"424","Culross Pass South End",NA,5
"425","Culross pass towards Applegate",NA,2
"426","Culross Passaga",NA,1
"427","culross passage",NA,23
"428","culross Passage",NA,1
"429","Culross passage",NA,24
"430","Culross Passage",NA,161
"431","CULROSS pASSAGE",NA,1
"432","CULROSS PASSAGE",486033,1
"433","CULROSS PASSAGE",NA,45
"434","Culross Passage (north end)",NA,1
"435","Culross Passage (South end)",NA,1
"436","Culross Passage north",NA,3
"437","Culross Passage North",NA,7
"438","Culross Passage, Culross Is.",NA,1
"439","Culross Passage, Near Applegate",NA,3
"440","Culross Passage, Southwest  side",NA,1
"441","Culross Passage, Southwest side",NA,3
"442","Culross Passage/ Blackstone Bay",NA,1
"443","Culross Passage/Applegate Island",NA,1
"444","Culross Passage/South Side",NA,3
"445","Culross Passage/Whittier Side",NA,1
"446","Culross Passage/Whittier SIde",NA,1
"447","Culross, Blackstone",NA,1
"448","Culross, Passage Canal",NA,1
"449","Culrus Pass",NA,2
"450","Culruss Passage",NA,1
"451","Cultists passage",NA,3
"452","Cultists Passage",NA,1
"453","Dangerest Passage",NA,1
"454","Dangerous  passage",NA,1
"455","Dangerous passage",NA,3
"456","Dangerous Passage",NA,7
"457","DANGEROUS PASSAGE",NA,1
"458","Dangerous Passage/ Paddy Point",NA,1
"459","Day Care Bay",NA,2
"460","Day care bay/ Perry island",NA,1
"461","Day Care Cove",NA,1
"462","decision point",NA,2
"463","Decision point",NA,5
"464","Decision Point",NA,22
"465","DECISION POINT",486033,1
"466","DECISION POINT",NA,3
"467","Decision Point, PWS",NA,2
"468","Decision pt",NA,9
"469","Decision Pt",NA,6
"470","DECISION PT",NA,1
"471","Decision Pt.",NA,1
"472","DECISION PT/BLACKSTONE",NA,4
"473","Decison Point",NA,1
"474","Deep Bay",NA,1
"475","DEEP BAY",NA,3
"476","Deep Cove",NA,1
"477","Deep Water",NA,1
"478","DEEP WATER",NA,2
"479","deep water bay",NA,1
"480","Deep water bay",NA,2
"481","Deep water Bay",NA,2
"482","Deep Water Bay",NA,33
"483","DEEP WATER BAY",486032,3
"484","DEEP WATER BAY",NA,3
"485","deep water bay nellie juan",NA,1
"486","Deep Water Bay, Port Nellie Juan",NA,2
"487","deep water bay/ nellie juan",NA,4
"488","DEEP WATER BAY/GREYSTONE BAY",NA,1
"489","Deepwater bay",NA,2
"490","Deepwater Bay",NA,2
"491","DEEPWATER BAY",NA,3
"492","Deepwater Bay, outside",NA,3
"493","Deickson Bay",NA,1
"494","Delong dock Whittier",NA,3
"495","Derickson",NA,1
"496","DERICKSON",NA,2
"497","derickson bay",NA,3
"498","Derickson bay",NA,2
"499","Derickson Bay",NA,37
"500","DERICKSON BAY",476033,1
"501","DERICKSON BAY",NA,5
"502","Derickson Bay, Eaglek",NA,2
"503","Derickson Bay, Port Nellie Juan",NA,1
"504","Derickson Bay, PWS",NA,1
"505","DERICKSONNELLIE JUAN",NA,1
"506","Derikson Bay",NA,2
"507","DERRICKSON",NA,2
"508","Derrickson Bay",NA,5
"509","DERRICKSON BAY,PORTNELLIEJUAN",NA,1
"510","Dickerson Bay",NA,1
"511","DICKERSON BAY",NA,1
"512","did not fish",NA,1
"513","Did not go to Prince William Sound in 2019",NA,1
"514","Did Not Participate",NA,1
"515","DIRKSEN/DEEP WATER",NA,1
"516","Dirkson",NA,2
"517","Disc",NA,2
"518","Disc Island",NA,1
"519","Disk Is. S Knight Is Passage lower Louis bay",NA,1
"520","Disk Is.E Knight Is. lower passage",NA,1
"521","disk island",NA,1
"522","Disk island",NA,1
"523","Disk Island",NA,1
"524","DISK ISLAND",NA,2
"525","Dreier Bay",NA,1
"526","drier",NA,1
"527","Drier Bay",NA,8
"528","DRIER BAY",476005,1
"529","DRIER BAY",NA,10
"530","dryer bay",NA,1
"531","dutch group",NA,1
"532","DUTCH GROUP",NA,12
"533","Dutch group islands",NA,2
"534","E ANDERSON BAY",NA,2
"535","E SHAMY BAY",NA,2
"536","E TWIN PERRY IS",NA,1
"537","E. SIDE OF COCHRANE",NA,1
"538","E. side Port Wells / Ester passage",NA,8
"539","Eagelek Bay",NA,5
"540","Eaglak",NA,1
"541","EAGLE K BAY",NA,1
"542","eaglek",NA,4
"543","Eaglek",NA,18
"544","EAGLEK",NA,5
"545","eaglek bay",NA,3
"546","Eaglek bay",NA,7
"547","Eaglek Bay",NA,25
"548","EAGLEK BAY",NA,13
"549","eaglek bay center",NA,1
"550","eaglek bay entrance",NA,1
"551","EAGLEK CASCADE",NA,1
"552","EAGLEK N CASCADE",NA,1
"553","Eaglick",NA,1
"554","EAGLICK BAY",NA,1
"555","eaglik",NA,1
"556","Eaglik Bay",NA,2
"557","EAGLIK BAY",NA,1
"558","Eashamy Mouth",NA,2
"559","EAST ARM WHALE BAY",NA,1
"560","east end of passage canal",NA,4
"561","east end passage canal",NA,3
"562","East Ester Canal",NA,1
"563","EAST FINGER",NA,4
"564","East finger inlet",NA,3
"565","East Finger Inlet",NA,4
"566","east of entry cove",NA,2
"567","East of Point Lowe",NA,6
"568","east of shotgun cove",NA,2
"569","East of Twin Bay, Perry Island",NA,1
"570","East Perry Island",NA,6
"571","East side Perry Island",NA,2
"572","East side port wells",NA,1
"573","East side Pt. Elenore",NA,1
"574","EAST TWIN",NA,1
"575","east twin bay",NA,2
"576","East Twin Bay off Perry Island",NA,2
"577","East Twin Bay Perry Island",NA,1
"578","EAST TWIN ENTRANCE PERRY ISLAND",NA,1
"579","Easter  Rock",NA,1
"580","easter passage south",NA,2
"581","Easter Rock",NA,1
"582","eastern portion of jack bay",NA,1
"583","EASTSIDE BLACKSTONE BAY",NA,1
"584","Eastside Culross Island",NA,1
"585","Egg Rock",NA,3
"586","EGG ROCK",NA,1
"587","EGG ROCKS",NA,2
"588","Egik Bay",NA,2
"589","Eglack Bay",NA,2
"590","Eglak",NA,1
"591","Eglig Bay",NA,1
"592","Eglik",NA,2
"593","Eglik Bay",NA,3
"594","Eglik Bay West",NA,2
"595","Eglike bay in Prince William Sound",NA,7
"596","EICKELBERG BAY",NA,1
"597","elanor island",NA,2
"598","Eleanor Island",NA,3
"599","ELENOR ISLAND",NA,1
"600","Elenor point",NA,1
"601","elf pt",NA,3
"602","ELF PT COLUMBIA BAY",NA,3
"603","Emerald Bay",NA,1
"604","Emerald Cove",NA,2
"605","EMERALD IS PASSAGE CANAL",NA,1
"606","Entrance Bettles Bay",NA,2
"607","Entrance island",NA,3
"608","Entrance Island",NA,3
"609","ENTRANCE ISLAND",NA,2
"610","Entrance Island Valdez Arm",NA,13
"611","Entrance of Icy Bay",NA,1
"612","Entrance Point",NA,4
"613","ENTRANCE POINT",NA,2
"614","entrance sawmill bay valdez",NA,3
"615","entrance to blue fjiord",NA,3
"616","entrance to port nellie juan",NA,2
"617","entrance to the narrows",NA,4
"618","Entry Cove",NA,1
"619","ENTRY COVE",NA,2
"620","entry point",NA,1
"621","Erickson Bay",NA,1
"622","Esamy Bay",NA,6
"623","Eschamy Bay",NA,1
"624","Eschemy Bay",NA,1
"625","Eshamy",NA,11
"626","ESHAMY",476006,1
"627","ESHAMY",NA,1
"628","eshamy bay",NA,3
"629","eshamy Bay",NA,1
"630","Eshamy bay",NA,3
"631","Eshamy Bay",NA,30
"632","ESHAMY BAY",476006,1
"633","ESHAMY BAY",NA,33
"634","ESHAMY BAY OUTSIDE MAIN BAY",NA,1
"635","Eshamy Bay, Prince William Sound",NA,1
"636","ESHAMY DISTRICT",NA,1
"637","ESHAMY/FOUL BAY",476006,1
"638","Eshemy Bay",NA,3
"639","ESHMAY BAY, MOUTH OFF POINT",NA,1
"640","Esshamy Bay",NA,1
"641","ester",NA,2
"642","Ester",NA,4
"643","ester bay",NA,1
"644","Ester Bay",NA,1
"645","ESTER BAY",NA,1
"646","ester Island",NA,1
"647","Ester island",NA,2
"648","Ester Island",NA,19
"649","ESTER ISLAND",NA,1
"650","Ester Island Passage",NA,1
"651","ESTER ISLAND PORT WELLS SIDE",NA,1
"652","Ester Island, Shoestring Cove",NA,2
"653","ester passage",NA,4
"654","Ester passage",NA,1
"655","Ester Passage",NA,4
"656","ESTER PASSAGE",NA,3
"657","Ester point",NA,1
"658","Ester Rock",NA,1
"659","ESTER ROCK",NA,3
"660","ESTER STRAIGHT",NA,1
"661","ESTER, QUILLIAN BAY",NA,1
"662","esterpassage",NA,1
"663","ESTHER",NA,5
"664","Esther Bay",NA,3
"665","ESTHER BAY",NA,4
"666","esther island",NA,10
"667","Esther island",NA,5
"668","Esther Island",NA,9
"669","ESTHER ISLAND",NA,11
"670","esther passage",NA,4
"671","Esther passage",NA,4
"672","Esther Passage",NA,7
"673","ESTHER PASSAGE",NA,6
"674","Esther Passage Area",NA,2
"675","Esther Pt.",NA,2
"676","ESTHER PWS",NA,3
"677","Esther rick",NA,1
"678","esther rock",NA,4
"679","Esther rock",NA,12
"680","Esther Rock",NA,5
"681","ESTHER ROCK",NA,17
"682","Esther Rock vacinity",NA,2
