"","location","stat_area","count"
"683","Esther Rock Vacinity",NA,1
"684","Esther Rocks",NA,3
"685","Ewan Bay",NA,1
"686","EWAN BAY",NA,3
"687","FAIRMONT",476036,1
"688","Falls Bay",NA,1
"689","Fidalgo",NA,3
"690","Fidalgo Bay",NA,1
"691","Fidelgo Bay Snug Corner",NA,1
"692","FINSKI POINT-GLACIER IS",NA,1
"693","Fish Trap",NA,1
"694","FISHERMANS COVE",NA,1
"695","Fiwas Bay",NA,1
"696","Fleming Island (north side)",NA,1
"697","Flemming Island",NA,1
"698","FLOATING POTS",NA,1
"699","Foul Bay",NA,16
"700","Foul bay, eshamy district",NA,1
"701","Fox Farm Bay",NA,1
"702","FREEMANTLE",466033,1
"703","Freestone Bay",NA,1
"704","FRONT OF ESTHER PASS",NA,3
"705","GAGE ISLAND",NA,3
"706","galena bay",NA,6
"707","Galena bay",NA,15
"708","Galena Bay",NA,30
"709","GALENA BAY",NA,13
"710","Galena Bay PWS",NA,3
"711","Galena Bay South Shore",NA,1
"712","Galena Bay, N of Rocky Pt.",NA,1
"713","Galena Bay.",NA,1
"714","Galens Bay",NA,1
"715","GELENA BAY",NA,1
"716","Glacier Bay",NA,7
"717","Glacier Is./Growler bay",NA,1
"718","Glacier Is./Growler Bay",NA,1
"719","Glacier Isaland",NA,1
"720","Glacier island",NA,2
"721","Glacier Island",NA,12
"722","GLACIER ISLAND",476035,1
"723","GLACIER ISLAND",NA,5
"724","Glacier Island South",NA,1
"725","Glacier Passage",NA,1
"726","GLACIER PASSAGE",NA,1
"727","gold creek",NA,1
"728","Gold creek",NA,2
"729","Gold Creek",NA,29
"730","Gold CReek",NA,1
"731","GOLD CREEK",NA,7
"732","gold creek in port valdez",NA,1
"733","Gold Creek, Port Valdez",NA,1
"734","gold greek",NA,1
"735","Gold Mine",NA,1
"736","golden",NA,9
"737","Golden",NA,22
"738","GOLDEN",NA,11
"739","golden bay",NA,1
"740","Golden bay",NA,3
"741","Golden Bay",NA,7
"742","GOLDEN BAY",NA,4
"743","Golden Cove",NA,1
"744","Golden, Wells Passage",NA,1
"745","Golina Bay",NA,1
"746","GOLPEN",NA,1
"747","GOOSE BAY",NA,1
"748","Goose Island",NA,1
"749","Gradual Point",NA,3
"750","Granate Bay",NA,2
"751","Granit Bay",NA,1
"752","Granite - Port Wells",NA,1
"753","Granite bay",NA,2
"754","Granite Bay",NA,32
"755","GRANITE BAY",476006,1
"756","GRANITE BAY",486034,2
"757","GRANITE BAY",NA,7
"758","Granite Bay (again)",NA,1
"759","Granite Bay (Port Wells)",NA,1
"760","granite bay port wells",NA,1
"761","Granite Bay Port Wells",NA,2
"762","Granite Bay South",NA,2
"763","Granite Bay South - Port Wells",NA,1
"764","Granite Bay/Port Wells",NA,1
"765","Granite Cove, Pondwells",NA,1
"766","GRANITE POINT",NA,1
"767","Gravitate bay",NA,1
"768","Green Island",NA,3
"769","GREEN ISLAND (NORTH SIDE)",NA,1
"770","Grey stone bay",NA,6
"771","greystone bay",NA,2
"772","Greystone Bay",NA,9
"773","Greystone Bay - Port Nelly Juan",NA,2
"774","guage island",NA,6
"775","GULENA BAY",NA,1
"776","Gut Bay",NA,1
"777","hariman fiord",NA,1
"778","HARRIMAN",NA,5
"779","HARRIMAN FIORD",NA,1
"780","Harriman Fjord",NA,2
"781","HARRIMAN FJORD",486100,1
"782","HARRIMAN FJORD",NA,2
"783","Harriman Glacier",NA,1
"784","Harrington Fjord",NA,1
"785","Harris arm",NA,1
"786","Harris fjord",NA,1
"787","HARRISON",NA,4
"788","Harrison bay",NA,1
"789","Harrison Bay",NA,8
"790","Harrison lagoon",NA,3
"791","Harrison Lagoon",NA,13
"792","HARRISON LAGOON",NA,4
"793","harrison lagoon barry arm",NA,2
"794","HARRISON LAGOON, PORT WELLS",NA,1
"795","Harvard Arm",NA,1
"796","Head Cochran Bay",NA,1
"797","Head of bay",NA,5
"798","Head of Bay",NA,12
"799","Head of Bay in Whittier",NA,1
"800","head of bay whittier",NA,3
"801","Head of Bettels Bay",NA,1
"802","Head of Blackstone Bay",NA,2
"803","head of cochran",NA,1
"804","Head of Cochran",NA,1
"805","head of cochran bay",NA,4
"806","Head of Cochrane Bay",NA,2
"807","HEAD OF GREYSTONE BAY",NA,2
"808","Head of Herring Bay",NA,1
"809","HEAD OF JACK BAY",NA,2
"810","Head of McClure bay",NA,1
"811","Head of McClure Bay",NA,1
"812","head of passage canal",NA,5
"813","Head of Passage Canal",NA,6
"814","HEAD OF PASSAGE CANAL",NA,10
"815","Head Wells Bay",NA,1
"816","Hearing Bay",NA,3
"817","heather bay",NA,33
"818","Heather bay",NA,3
"819","Heather Bay",NA,39
"820","HEATHER BAY",NA,14
"821","Heather Bay, Columbia",NA,5
"822","Heather Bay, inside Columbia Bay",NA,1
"823","Heather Island",NA,1
"824","HENDRICKSON BAY",NA,4
"825","Heny Hook, Harriman Fjord",NA,1
"826","Hering Bay",NA,1
"827","herring bay",NA,3
"828","Herring bay",NA,1
"829","Herring Bay",NA,16
"830","HERRING BAY",NA,3
"831","Herring Bay Knight Is.",NA,1
"832","Hidden bay",NA,2
"833","Hidden Bay",NA,5
"834","HIDDEN BAY ENTRANCE",NA,1
"835","HIDDEN COVE",NA,13
"836","hidden cove (culross island)",NA,1
"837","Hidey Hole, just outside, near Cedar Cove",NA,1
"838","hobo  fords",NA,1
"839","hobo and lagoon",NA,1
"840","hobo bay",NA,7
"841","Hobo bay",NA,8
"842","Hobo Bay",NA,20
"843","HOBO BAY",NA,15
"844","Hobo Bay - Prince William Sound",NA,2
"845","Hobo Bay, Port Wells",NA,4
"846","HOBO ENTRANCE",NA,1
"847","HOG BAY",NA,1
"848","Hogg Bay",NA,1
"849","HOGKINS PT",NA,1
"850","hummer bay",NA,1
"851","Hummer bay",NA,2
"852","Hummer Bay",NA,18
"853","HUMMER BAY",486034,1
"854","HUMMER BAY",NA,2
"855","HUMMER BAY MOUTH",NA,1
"856","HUMMER BAY/PORT WELLS",NA,2
"857","I didn’t fish",NA,1
"858","icey bay",NA,2
"859","icy bay",NA,11
"860","Icy bay",NA,7
"861","Icy Bay",NA,19
"862","ICY BAY",486005,5
"863","ICY BAY",NA,10
"864","Icy Bay  PWS",NA,1
"865","Icy Bay , Prince William Sound",NA,1
"866","Icy Bay ,Prince William Sound",NA,1
"867","Icy Bay PWS",NA,1
"868","ICY Bay PWS",NA,1
"869","IKTUA BAY",NA,1
"870","in fromt of shoup bay",NA,1
"871","in front of saw mill bay",NA,2
"872","in front of shoup bay",NA,2
"873","in passage canal about 5 miles from whitter",NA,1
"874","jack",NA,11
"875","Jack's bay",NA,3
"876","Jack's Bay",NA,13
"877","Jack Bah",NA,1
"878","jack bay",NA,14
"879","jack Bay",NA,1
"880","Jack bay",NA,24
"881","Jack Bay",NA,90
"882","JACK BAY",466100,9
"883","JACK BAY",NA,65
"884","Jack Bay- Valdez Arm",NA,1
"885","Jack Bay - all my shrimp gear was stolen",NA,1
"886","jack bay middle",NA,2
"887","Jack Bay, Prince William Sound",NA,1
"888","Jack Bay, Valdez",NA,2
"889","Jack pot",NA,1
"890","Jack pot bay",NA,1
"891","Jack Pot Bay",NA,3
"892","Jack’s bay",NA,1
"893","Jackpot",NA,6
"894","JACKPOT",NA,1
"895","jackpot bay",NA,1
"896","Jackpot bay",NA,1
"897","Jackpot Bay",NA,17
"898","JACKPOT BAY",486005,4
"899","JACKPOT BAY",NA,5
"900","JACKPOT ISLAND",486005,5
"901","Jackpot, Dangerous Passage",NA,1
"902","Jacks",NA,2
"903","jacks bay",NA,27
"904","Jacks bay",NA,12
"905","Jacks Bay",NA,26
"906","JACKS BAY",NA,3
"907","Jacks Bay-PWS",NA,13
"908","Jacks bay by island",NA,1
"909","Jacks bay valdez",NA,1
"910","Jacks Bay=PWS",NA,1
"911","JACKSON HOLE",NA,1
"912","Jak Bay",NA,2
"913","JANETS HOLE",NA,5
"914","JOAN PASSAGE",NA,1
"915","JOHNSON BAY",NA,1
"916","Jonah Bay and fish hatchery",NA,1
"917","junction island",NA,2
"918","JUNCTION ISLAND",NA,11
"919","junction island and perry island south side",NA,1
"920","JUNCTION ISLAND, DANGEROUS PAS",NA,1
"921","Just outside Colross Pass",NA,1
"922","Just Outside Culross Pass",NA,1
"923","Just outside passage canal towards Portwells",NA,1
"924","Ketchican",NA,3
"925","Keyhole Cove",NA,1
"926","kight island",NA,1
"927","kings bay",NA,3
"928","kings Bay",NA,1
"929","Kings bay",NA,9
"930","Kings Bay",NA,31
"931","KINGS BAY",486032,1
"932","KINGS BAY",NA,32
"933","Kings bay north side",NA,1
"934","kingsbay",NA,3
"935","Kingsbay",NA,1
"936","Kinikilik",NA,1
"937","KINIKLIK IS",NA,1
"938","Klicklik Bay",NA,2
"939","Klicklik Island",NA,1
"940","Knight",NA,3
"941","Knight - lower passage",NA,1
"942","Knight - upper passage",NA,1
"943","Knight Is",NA,1
"944","knight island",NA,1
"945","knight Island",NA,1
"946","Knight island",NA,1
"947","Knight Island",NA,10
"948","KNIGHT ISLAND",NA,3
"949","Knight Island (south Long Channel)",NA,1
"950","Knight Island Bay",NA,1
"951","Knight ISland BAy",NA,1
"952","Knight Island lower passage",NA,2
"953","Knight Island Passage",NA,5
"954","KNIGHT ISLAND PASSAGE",NA,16
"955","Knight island passage lower passage",NA,1
"956","Knight Island Upper passage",NA,1
"957","KNIGHT ISLAND, MUMMY BAY",NA,1
"958","knight passage",NA,2
"959","Knight Passage",NA,2
"960","Knights Island, Little Bay",NA,1
"961","KNIGHTS PASSAGE",NA,2
"962","La Touche Passage",NA,1
"963","Lake Bay",NA,4
"964","LAKE BAY",NA,3
"965","LAKE BAY (ESTER ISLAND)",NA,1
"966","Lake Bay, Esther Is",NA,3
"967","Lake Bay, Esther Island",NA,1
"968","Landlocked Bay",NA,2
"969","Latouche",NA,1
"970","LATOUCHE",NA,1
"971","Latouche Island",NA,3
"972","Little Axel Island",NA,2
"973","Log Camp Bay",NA,7
"974","Loggers Camp Bay",NA,17
"975","logging camp",NA,1
"976","Logging camp",NA,2
"977","LOGGING CAMP",NA,1
"978","logging camp bay",NA,10
"979","Logging Camp Bay",NA,4
"980","LOGGING CAMP BAY",NA,1
"981","Lone Island",NA,4
"982","Lone Island, Whittier",NA,1
"983","Lone Pasage",NA,1
"984","Lone Passage",NA,2
"985","Long Baty",NA,1
"986","long bay",NA,12
"987","Long bay",NA,8
"988","Long Bay",NA,57
"989","LONG BAY",476035,1
"990","LONG BAY",NA,40
"991","Long Bay by Columbia Glacier",NA,1
"992","long bay PWS",NA,1
"993","Long Bay, NE PWS by Columbia Glacier",NA,2
"994","long channel",NA,1
"995","Long Channel",NA,7
"996","long passage",NA,3
"997","Long passage",NA,2
"998","Long Passage",NA,3
"999","Long Passage, Knight Island",NA,1
"1000","LONG PT. BY COLUMBIA BAY",NA,1
"1001","Lons Channel",NA,1
"1002","Lordes Islands",NA,1
"1003","Lords Island",NA,1
"1004","Lords islands.",NA,1
"1005","Louis Bay",NA,2
"1006","LOUIS BAY",NA,3
"1007","Louis Bay South of Disk Island",NA,4
"1008","LOUS BAY",NA,1
"1009","lower colross passage",NA,1
"1010","LOWER CULROSS",NA,5
"1011","lower Culross pass",NA,1
"1012","Lower Culross Passage",NA,2
"1013","Lower herring bay",NA,2
"1014","Lower Herring Bay",NA,6
"1015","LOWER HERRING BAY",476006,1
"1016","LOWER HERRING BAY",NA,1
"1017","Lower night passage",NA,1
"1018","Lower passage",NA,4
"1019","Lower Passage Knight Island",NA,1
"1020","LUCKY BAY",NA,5
"1021","LUCY BAY",NA,1
"1022","main bay",NA,50
"1023","Main bay",NA,15
"1024","Main Bay",NA,72
"1025","MAIN BAY",486031,55
"1026","MAIN BAY",NA,40
"1027","MAIN BAY MOUTH",NA,1
"1028","Main Bay, Exterior",NA,1
"1029","Main Canal",NA,4
"1030","mainbay",NA,4
"1031","Mainbay",NA,4
"1032","MAINBAY NW PRESTON",NA,1
"1033","MAINBAY PRESTON/FINGER COVE",NA,1
"1034","MARRIMAN",NA,1
"1035","Marsha Bay/ Knight Island",NA,1
"1036","mc clure bay",NA,1
"1037","Mc Clure Bay",NA,2
"1038","McClur Bay",NA,1
"1039","McClure",NA,15
"1040","MCCLURE",NA,16
"1041","Mcclure Bay",NA,4
"1042","McClure bay",NA,5
"1043","McClure Bay",NA,61
"1044","MCCLURE BAY",486031,1
"1045","MCCLURE BAY",NA,38
"1046","MCCLURE BAY-PORT NELLIE JUAN",NA,1
"1047","McClure Bay - Mouth",NA,7
"1048","McClure Bay (outside)",NA,1
"1049","mcClure bay east side",NA,1
"1050","McClure Bay, across from cannery",NA,1
"1051","MCCLURE BAY, PORT NELLIE JUAN",NA,1
"1052","Mclure",NA,1
"1053","mclure bay",NA,4
"1054","mclure Bay",NA,1
"1055","Mclure bay",NA,1
"1056","Mclure Bay",NA,2
"1057","McLure Bay",NA,1
"1058","MCLURE BAY",486031,1
"1059","MCLURE BAY",NA,5
"1060","McPherson Bay",NA,1
"1061","Mew Cove Knight Island",NA,1
"1062","MEW COVE, LOWER PASS",NA,1
"1063","MIDDLE RK",NA,1
"1064","middle rock",NA,4
"1065","Middle rock",NA,2
"1066","Middle Rock",NA,3
"1067","MIDDLE ROCK",NA,8
"1068","middle rock valdez",NA,1
"1069","Middle Rock valdez",NA,1
"1070","Middle/South Culross",NA,1
"1071","mineral creek",NA,4
"1072","Mineral Creek",NA,6
"1073","MINERAL CREEK",NA,10
"1074","mineral creek area",NA,1
"1075","Mineral Creek Falls",NA,1
"1076","Mineral Creek Valdez",NA,3
"1077","MINERAL CREEK VALDEZ",NA,2
"1078","Mineral Creek, Valdez Alaska",NA,1
"1079","Miners Bay",NA,1
"1080","mink",NA,8
"1081","Mink",NA,2
"1082","MINK",NA,1
"1083","Mink Is. Port Nellie Jaun",NA,1
"1084","Mink IS. Port Nellie Jaun",NA,1
"1085","Mink island",NA,1
"1086","Mink Island",NA,31
"1087","Mink Island, Port Nellie Juan",NA,1
"1088","MINK ISLAND, PORT NELLIE JUAN",NA,3
"1089","Mink island/ port Nellie Juan",NA,1
"1090","MLURE BAY",NA,1
"1091","MONTAGUE ISLAND, MIDDLE P",NA,1
"1092","MONTAGUE ISLAND, ZAIKOF BAY",NA,1
"1093","MOUTH COCHRANE",NA,1
"1094","Mouth of Blackstone",NA,2
"1095","MOUTH OF COCHRANE",NA,1
"1096","MOUTH OF CULROSS",NA,1
"1097","Mouth of Culross Pass",NA,1
"1098","Mouth of Deep Water Bay",NA,1
"1099","mouth of eshamy",NA,1
"1100","Mouth of Main Bay",NA,1
"1101","mouth of Pigot Bay",NA,1
"1102","Mouth of Pigot Bay",NA,3
"1103","MOUTH OF SHOTGUN COVE",NA,6
"1104","MOUTH WEST TWIN BAY",NA,1
"1105","mueller cove",NA,1
"1106","MUELLER COVE",NA,2
"1107","Mueller Cove, Unakwik Inlet",NA,1
"1108","Muller bay",NA,1
"1109","Muller bay/ Unakwik Bay",NA,1
"1110","MULLER COVE",NA,2
"1111","Mummy  bay",NA,1
"1112","mummy bay",NA,1
"1113","Mummy bay",NA,1
"1114","Mummy Bay",NA,17
"1115","MUMMY BAY",NA,17
"1116","Mummy Bay - Mouth",NA,1
"1117","Mummy Bay, Knight Island",NA,2
"1118","Mummy Island",NA,1
"1119","MURRAY BAY",NA,1
"1120","n culross island",NA,1
"1121","N CULROSS PASS",NA,1
"1122","N end Dangerous Passage",NA,3
"1123","N end Port Bainbridge",NA,1
"1124","N entrance Esther Passage",NA,1
"1125","N EVANS ISLAND POW",NA,1
"1126","N GRANITE BAY PORT WELLS",NA,1
"1127","N OF CHENEGA ISLAND",NA,12
"1128","N OF DOUBLE BAY",NA,1
"1129","N OF GIBBON. GREEN",NA,1
"1130","N OF PIGET BAY",NA,1
"1131","N Side of Buzby Island",NA,1
"1132","N. Blackstone Bay",NA,1
"1133","N. CULROSS PASS",NA,5
"1134","N. Culross Passage",NA,2
"1135","N. end of Culross Pass",NA,3
"1136","N. ofIceberg Pt.",NA,1
"1137","N.E HENDERSON",NA,1
"1138","N/W end Valdez Arm",NA,2
"1139","NAKED",NA,1
"1140","Naked island",NA,2
"1141","Naked Island",NA,6
"1142","NAKED ISLAND",NA,1
"1143","Naked island /Cabin bay",NA,1
"1144","Naked Island outside bay",NA,1
"1145","Naked Island/cabin Baay",NA,1
"1146","narrows",NA,1
"1147","Narrows",NA,1
"1148","NE cochrane",NA,1
"1149","NE cochrane bay",NA,4
"1150","NEAR 3 FINGERS",NA,1
"1151","near Anderson Bay",NA,2
"1152","Near Apple gate island",NA,1
"1153","Near entrance to Shoup Bay",NA,1
"1154","NEAR FERRY DOCK",NA,3
"1155","Near Fool Island north of Perry Island",NA,1
"1156","Near Logging Camp Bay in Passage Canal",NA,2
"1157","NEAR MINERAL CREEK",NA,2
"1158","Near valdez",NA,1
"1159","Nelle Juan",NA,2
"1160","Nelli Juan",NA,5
"1161","nellie juan",NA,3
"1162","Nellie juan",NA,4
"1163","Nellie Juan",NA,27
"1164","NELLIE JUAN",NA,13
"1165","Nellie Juan Bay",NA,1
"1166","Nellie Juan West Finger",NA,1
"1167","Nellie Juan, Derrickson",NA,6
"1168","Nelly juan",NA,2
"1169","Nelly Juan",NA,9
"1170","Nellyjuan",NA,2
"1171","Nelson Bay, Cordova",NA,2
"1172","NEPTUNE POINT",NA,1
"1173","NEW GRAIN STORAGE",NA,1
"1174","night island",NA,2
"1175","NO. 5 JACK'S BAY",NA,14
"1176","None",NA,1
"1177","North  entrance Cullross",NA,1
"1178","North Cullross Island",NA,1
"1179","North Culross Passage",NA,2
"1180","NORTH CULROSS PASSAGE",NA,14
"1181","North East Knight Island",NA,1
"1182","north east perry",NA,1
"1183","NORTH END BLACKSTONE",NA,3
"1184","North end Culross Passage",NA,1
"1185","NORTH END CULROSS PASSAGE",NA,1
"1186","North end of Ester Passage",NA,1
"1187","North end of Perry Island",NA,1
"1188","north end olsen island",NA,1
"1189","North entrance to Culross Pass",NA,1
"1190","North Ester",NA,1
"1191","North Esther passage",NA,1
"1192","North Ingot Island",NA,2
"1193","North line eshamy district",NA,1
"1194","NORTH LINE MAIN BAY",NA,1
"1195","North of Siwash",NA,1
"1196","north perry island",NA,1
"1197","North Perry Island",NA,1
"1198","NORTH PERRY ISLAND",NA,1
"1199","north side busby island",NA,1
"1200","NORTH SIDE ELENOR ISLAND",NA,1
"1201","North side of Culross island",NA,1
"1202","North side of Mew Cove",NA,2
"1203","North Side of Mew Cove/Knight Island",NA,1
"1204","North side of Passage Canal",NA,1
"1205","north side of perry island",NA,1
"1206","North Side of Port Valdez, W of Perkins Point",NA,1
"1207","North West of Perry island",NA,1
"1208","Northeast cochrane bay",NA,1
"1209","Northeast Cochrane bay",NA,1
"1210","Northside of Culross Island",NA,1
"1211","NORTHWEST BAY",NA,1
"1212","Nuka Bay",NA,1
"1213","NW Blackstone Bay",NA,1
"1214","NW Busby Island",NA,2
"1215","NW DEEP WATER",NA,2
"1216","NW DEEP WATER, PORT NEIL",NA,1
"1217","NW OF CRAFTON",NA,1
"1218","NW OF LUGOT",NA,1
"1219","NW POINT PERRY ISLAND",NA,1
"1220","NW Port Valdez",NA,1
"1221","NW port wells",NA,1
"1222","NW side Perry Island",NA,1
"1223","Off Bligh Island in Fidalgo",NA,1
"1224","OFF EMERALD IS",NA,1
"1225","OLSEN BAY",NA,1
"1226","olsen is.",NA,1
"1227","Olsen Island",NA,5
"1228","OLSEN ISLAND",NA,6
"1229","OLSON IS",NA,2
"1230","Olson Island (north)",NA,1
"1231","Olson Island (south)",NA,1
"1232","Orca Bay across from Bomb Pt.",NA,1
"1233","Orca Bay across from Sheep Bay",NA,1
"1234","Otter Bay",NA,1
"1235","Otter Cove",NA,3
"1236","Out front of Port nelle Juan",NA,1
"1237","Outer Pigot Bay",NA,2
"1238","Outside 3 Fingers",NA,1
"1239","Outside Bay, Naked Island",NA,1
"1240","Outside Bettles Bay, PW",NA,1
"1241","Outside Eshamy Bay",NA,1
"1242","Outside foul bay",NA,1
"1243","Outside Granite Bay, Ester Is, PW",NA,1
"1244","OUTSIDE HUMMER BAY",NA,4
"1245","OUTSIDE JACK BAY",NA,1
"1246","Outside Main Bay",NA,1
"1247","Outside MInk Island - Port Nelly Juan",NA,1
"1248","outside of Cascade Bay",NA,1
"1249","Outside of Cochran",NA,2
"1250","outside of HOBO Bay",NA,1
"1251","OUTSIDE PIGOT BAY",NA,6
"1252","Outside Shoup  Bay",NA,1
"1253","Outside Shoup Bay",NA,1
"1254","Outside Surprise Cove",NA,1
"1255","Outside Whittier",NA,2
"1256","Outside Ziegler Cove",NA,5
"1257","packenham point",NA,1
"1258","Packenham Point",NA,1
"1259","Packenham Point Morraine",NA,3
"1260","Packenham Pt.",NA,3
"1261","PACKINGHAM",NA,2
"1262","Packingham Point",NA,3
"1263","Pakenham",NA,1
"1264","Pakenham Moraine",NA,1
"1265","Pakenham point",NA,1
"1266","Pakenham Point",NA,3
"1267","Pakenham Pt",NA,4
"1268","PAKINGHAM",NA,6
"1269","Pakinham Pt.",NA,6
"1270","Papoose bay",NA,1
"1271","Pasage Canal",NA,1
"1272","Pass channel",NA,1
"1273","passage",NA,1
"1274","Passage",NA,4
"1275","PASSAGE",NA,54
"1276","passage canal",NA,114
"1277","passage Canal",NA,1
"1278","Passage canal",NA,65
"1279","Passage Canal",NA,217
"1280","PASSAGE CANAL",312,1
"1281","PASSAGE CANAL",486033,54
"1282","PASSAGE CANAL",NA,130
"1283","passage canal across whittier harbor",NA,1
"1284","Passage Canal Near Kittiwake Rookery",NA,1
"1285","Passage canal prince William sound",NA,1
"1286","Passage Canal Whittier",NA,2
"1287","Passage Canal, east side",NA,1
"1288","Passage Canal, Squirrel Cove",NA,1
"1289","PASSAGE CANAL,WATERFALL",NA,1
"1290","PASSAGE CANAL,WATERFALLS",NA,1
"1291","Passage Cannal",NA,1
"1292","Passage cannel",NA,12
"1293","Passage Cannel",NA,1
"1294","Passage chanel",NA,3
"1295","Passage Point",NA,1
"1296","paulson bay",NA,1
"1297","Paulson bay",NA,1
"1298","Paulson Bay",NA,3
"1299","PAULSON BAY",NA,2
"1300","pay day pt",NA,1
"1301","Peak Island",NA,1
"1302","Pecham Point",NA,1
"1303","Pecham Point/Barry Arm",NA,1
"1304","Peckenham Pr",NA,1
"1305","perkins point",NA,4
"1306","Perry",NA,16
"1307","PERRY",NA,8
"1308","perry i",NA,1
"1309","Perry Is.",NA,2
"1310","perry island",NA,6
"1311","Perry island",NA,10
"1312","Perry iSLAND",NA,1
"1313","Perry Island",NA,41
"1314","PERRY ISLAND",NA,24
"1315","Perry Island - West Twin Bay Entrance",NA,1
"1316","Perry island (Whittier)",NA,2
"1317","Perry island / east twin bay",NA,1
"1318","Perry Island East Side",NA,7
"1319","Perry Island, Prince William Sound",NA,1
"1320","Perry Island, West Twin Bay",NA,5
"1321","PERRY NW",NA,1
"1322","perry passage",NA,2
"1323","Perry passage",NA,1
"1324","Perry Passage",NA,8
"1325","PERRY PASSAGE",486033,2
"1326","Perry point",NA,1
"1327","PERRY PT",NA,5
"1328","picket bay",NA,2
"1329","Picket bay",NA,1
"1330","Picot point",NA,2
"1331","pig",NA,1
