Samplers,Date,Fish #,Tag #,Recap?,Section #,Species,Gear,Length ,Weight (g),Age,Size Class,Sex,Stomach?,Salmon total,Coho,Sockeye,UI Salmon,Stickleback ,Sculpin,Longnose Sucker,Pike,Burbot,Lamprey,UI Fish,Scud,Dragon Fly,Water tiger,Damsel Fly,Caddis Fly,Stonefly,Mayfly,Chironomid,Beetle,Spider,Wasp,Clam/mussel,Snail,Leech,Water Boatman,White worm,Roundworm,Worm,Moth,Maggot,UI Invert,Mammal,Bird,Eggs,Other (specify),Total Inverts,Comments
Unknown,6/16/2019,1336,2065,R,2,NP,Angler,698,2270,,> 310,M,Y,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,6,
Unknown,6/16/2019,1337,,,2,NP,Angler,585,1435,,> 310,F,Y,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,12,
Unknown,6/16/2019,1338,2128,R,2,NP,Angler,673,2140,,> 310,F,Y,,,,,,,,,,,,,15,,,,,,,,,,,,8,,,,,,,,,,,,23,
Unknown,6/16/2019,1339,2107,R,2,NP,Angler,645,1990,,> 310,M,Y,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,27,
Unknown,6/16/2019,1340,2138,R,2,NP,Angler,550,1185,,> 310,F,Y,,,,,,,,,,,,,25,,,,,,,,,,,,1,,,,,,,,,,,,26,
Unknown,6/16/2019,1341,,,2,NP,Angler,555,1076,,> 310,F,Y,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,
Unknown,6/16/2019,1342,2055,R,2,NP,Angler,545,1130,,> 310,F,Y,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,6,
Unknown,6/16/2019,1343,,,2,NP,Angler,550,1220,,> 310,M,Y,,,,,1,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,21,
Unknown,6/16/2019,1344,,,2,NP,Angler,527,1168,,> 310,M,Y,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,11,
Unknown,6/16/2019,1345,,,2,NP,Angler,529,1114,,> 310,M,Y,10,10,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
Unknown,6/16/2019,1346,,,2,NP,Angler,530,1140,,> 310,F,Y,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,10,
Unknown,6/16/2019,1347,2144,R,2,NP,Angler,482,762,,> 310,M,Y,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,
Unknown,6/16/2019,1348,,,2,NP,Angler,411,509,,> 310,F,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Unknown,6/16/2019,1349,,,2,NP,Angler,326,280,,> 310,M,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Unknown,6/16/2019,1350,,,2,NP,Angler,280,166,,< 310,M,Y,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
NS JJ,6/17/2019,1351,2062,R,2,NP,Angler,543,1130,,> 310,F,Y,,,,,,,,,,,,,1,,,,,,,,,,,,8,,,,,,,,,,,,9,
NS JJ,6/17/2019,1352,,,2,NP,Angler,548,1200,,> 310,M,Y,,,,,1,,,,,,,,4,,,,,,,,,,,,6,,,,,,,,,,,,10,
NS JJ,6/17/2019,1353,,,2,NP,Angler,568,1383,,> 310,F,Y,,,,,1,,,,,,,,19,,,,,,,,,,,,5,,,,,,,,,,,,24,
NS JJ,6/17/2019,1354,2142,R,2,NP,Angler,553,1359,,> 310,F,Y,,,,,1,,,,,,,,10,,,,,,,,,,,,4,,,,,,,,,,,,14,
NS JJ,6/17/2019,1355,,,2,NP,Angler,430,626,,> 310,F,Y,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,9,
NS JJ,6/17/2019,1356,,,2,NP,Angler,569,1370,,> 310,M,Y,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,11,
NS JJ,6/17/2019,1357,2143,R,1,NP,Gillnet,584,1542,,> 310,M,Y,,,,,,,,,,,,,15,,,,,,,,,,,,2,,,,,,,,,,,,17,
NS JJ,6/17/2019,1358,,,1,NP,Gillnet,465,831,,> 310,M,Y,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4,
NS JJ,6/17/2019,1359,2070,R,1,NP,Gillnet,614,1691,,> 310,M,Y,2,,,2,1,,,,,,1,,16,,,,,,,,,,,,4,,,,,,,,,,,,20,
NS JJ,6/17/2019,1360,2130,R,1,NP,Gillnet,585,1524,,> 310,M,Y,,,,,,,,,,,,,12,,,,,,,,,,,,1,,,,2,,,,,,,,15,
NS JJ,6/17/2019,1361,2059,R,1,NP,Gillnet,579,1282,,> 310,F,Y,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,
NS JJ,6/17/2019,1362,2116,R,1,NP,Gillnet,480,900,,> 310,F,Y,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,
NS JJ,6/17/2019,1363,2133,R,1,NP,Gillnet,597,1617,,> 310,M,Y,,,,,,,,,,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,10,
NS JJ,6/17/2019,1364,,,1,NP,Gillnet,365,400,,> 310,F,Y,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1365,,,1,NP,Gillnet,310,232,,< 310,F,Y,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,1 OTOLITH
NS JJ,6/17/2019,1366,,,1,NP,Gillnet,296,196,,< 310,F,Y,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1367,,,1,NP,Gillnet,343,316,,> 310,M,Y,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1368,,,1,NP,Gillnet,289,193,,< 310,M,Y,3,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1369,,,1,NP,Gillnet,296,210,,< 310,F,Y,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,3,
NS JJ,6/17/2019,1370,2136,R,1,NP,Gillnet,706,2646,,> 310,M,Y,,,,,,,,,,,2,,2,,,,,,,,,,,,3,,,,,,,,,,,,5,
NS JJ,6/17/2019,1371,2064,R,1,NP,Gillnet,683,2334,,> 310,F,Y,,,,,,,,,,,,,8,,,,,,,,,,,,3,,,,,,,,,,,,11,
NS JJ,6/17/2019,1372,,,1,NP,Gillnet,602,1665,,> 310,F,Y,,,,,2,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,
NS JJ,6/17/2019,1373,2058,R,1,NP,Gillnet,594,1557,,> 310,M,Y,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,9,
NS JJ,6/17/2019,1374,2118,R,1,NP,Gillnet,488,808,,> 310,M,Y,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
NS JJ,6/17/2019,1375,,,1,NP,Gillnet,563,1320,,> 310,F,Y,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3,
NS JJ,6/17/2019,1376,2129,R,1,NP,Gillnet,574,1470,,> 310,F,Y,,,,,,3,,,,,,,7,,,,,,,,,,,,7,,,,,,,,,,,,14,
NS JJ,6/17/2019,1377,,,1,NP,Gillnet,569,1411,,> 310,M,Y,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,9,
NS JJ,6/17/2019,1378,,,1,NP,Gillnet,606,1546,,> 310,F,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1379,,,1,NP,Gillnet,458,730,,> 310,F,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1380,2148,R,1,NP,Gillnet,508,1001,,> 310,F,Y,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,
NS JJ,6/17/2019,1381,2114,R,1,NP,Gillnet,586,1504,,> 310,M,Y,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,8,
NS JJ,6/17/2019,1382,2124,R,1,NP,Gillnet,482,768,,> 310,F,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1383,,,1,NP,Gillnet,259,141,,< 310,U,Y,,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,7,
NS JJ,6/17/2019,1384,2063,R,1,NP,Gillnet,659,2175,,> 310,F,Y,,,,,,,,1,,,,,11,,,,,,,,,,,,13,,,,,,,,,,,,24,
NS JJ,6/17/2019,1385,2119,R,1,NP,Gillnet,588,1454,,> 310,F,Y,1,,,1,2,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,2,
NS JJ,6/17/2019,1386,,,1,NP,Gillnet,346,313,,> 310,F,Y,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
NS JJ,6/17/2019,1387,,,1,NP,Gillnet,318,249,,> 310,U,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1388,,,1,NP,Gillnet,311,235,,> 310,F,Y,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1389,,,1,NP,Gillnet,584,1552,,> 310,M,Y,,,,,,,,,,,,,3,,,,,,,,,,,,4,,,,,,,,,,,,7,
NS JJ,6/17/2019,1390,,,1,NP,Gillnet,329,300,,> 310,U,Y,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
NS JJ,6/17/2019,1391,,,1,NP,Gillnet,305,215,,< 310,F,Y,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1392,,,1,NP,Gillnet,307,248,,< 310,M,Y,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1393,,,1,NP,Gillnet,305,245,,< 310,F,Y,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1394,,,1,NP,Gillnet,405,499,,> 310,F,Y,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,7,
NS JJ,6/17/2019,1395,,,1,NP,Gillnet,657,2485,,> 310,F,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,10,
NS JJ,6/17/2019,1396,,,1,NP,Gillnet,832,4194,,> 310,M,Y,,,,,,,,,,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,8,
NS JJ,6/17/2019,1397,2105,R,1,NP,Gillnet,663,2195,,> 310,F,Y,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,
NS JJ,6/17/2019,1398,2111,R,1,NP,Gillnet,625,1580,,> 310,F,Y,,,,,,,,,,,,,4,,,,,,,,,,,,1,,,,,,,,,,,,5,
NS JJ,6/17/2019,1399,2121,R,1,NP,Gillnet,588,1588,,> 310,F,Y,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,2,
NS JJ,6/17/2019,1400,,,1,NP,Gillnet,300,167,,< 310,F,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1401,2051,R,1,NP,Gillnet,564,1245,,> 310,F,Y,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,3,
NS JJ,6/17/2019,1402,TL,R,1,NP,Gillnet,770,3156,,> 310,M,Y,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,11,
NS JJ,6/17/2019,1403,2057,R,1,NP,Gillnet,635,1842,,> 310,F,Y,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1404,,,1,NP,Gillnet,285,177,,< 310,F,Y,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
NS JJ,6/17/2019,1405,,,1,NP,Gillnet,564,1469,,> 310,F,Y,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,
NS JJ,6/17/2019,1406,,,1,NP,Gillnet,276,171,,< 310,U,Y,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
NS JJ,6/17/2019,1407,,,1,NP,Gillnet,275,141,,< 310,F,Y,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
NS JJ,6/17/2019,1408,,,1,NP,Gillnet,310,233,,< 310,M,Y,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
NS JJ,6/17/2019,1409,2115,R,1,NP,Gillnet,595,1667,,> 310,M,Y,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,1,,,,,,,,10,
NS JJ,6/17/2019,1410,,,1,NP,Gillnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Head only, took cleithra and oto"
NS JJ,6/17/2019,1411,,,1,NP,Gillnet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"Head only, took oto"
NS JJ,6/17/2019,1412,2068,R,1,NP,Angler,540,1211,,> 310,M,Y,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
PB EH JJ,6/18/2019,1413,2053,R,2,NP,Gillnet,532,1042,,> 310,M,Y,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,8,
PB EH JJ,6/18/2019,1414,,,2,NP,Gillnet,595,1535,,> 310,F,Y,,,,,,,,,,,,,5,,,,,,,,,,,,1,,,,,,,,,,,,6,
PB EH JJ,6/18/2019,1415,2106,R,2,NP,Gillnet,568,1555,,> 310,M,Y,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,12,
PB EH JJ,6/18/2019,1416,,,2,NP,Gillnet,342,327,,> 310,M,Y,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,
PB EH JJ,6/18/2019,1417,,,2,NP,Gillnet,456,783,,> 310,M,Y,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,6,
PB EH JJ,6/18/2019,1418,2101,R,2,NP,Gillnet,548,1186,,> 310,M,Y,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
PB EH JJ,6/18/2019,1419,2100,R,2,NP,Gillnet,563,1414,,> 310,M,Y,,,,,,,,,,,,,10,,,,,,,,,,,,2,,,,,,,,,,,,12,
